strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pangolin_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing
hCoV-19/SouthAfrica/NICD-N40227/2022	betacoronavirus	EPI_ISL_12401174	?	2022-04-24	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29750	Human	24	Female	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/NICD-N40229/2022	betacoronavirus	EPI_ISL_12401175	?	2022-04-24	Africa	South Africa	Gauteng		Africa	South Africa	Gauteng	genome	29711	Human	77	Female	?	BA.4	GRA	Lancet Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/Denmark/DCGC-501593/2022	betacoronavirus	EPI_ISL_12401348	?	2022-04-24	Europe	Denmark	Hovedstaden		Europe	Denmark	Hovedstaden	genome	29740	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/Italy/LOM_ASSTMonza_668850_20220425094200/2022	betacoronavirus	EPI_ISL_12401707	?	2022-04-25	Europe	Italy	Lombardy	Monza	Europe	Italy	Lombardy	genome	29590	Human	unknown	unknown	?	BA.4	GRA	ASST MONZA	ASST MONZA	Sergio Maria Ivano Malandrin	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/Italy/LOM_ASSTMonza_668848_20220425093300/2022	betacoronavirus	EPI_ISL_12401714	?	2022-04-25	Europe	Italy	Lombardy	Monza	Europe	Italy	Lombardy	genome	29599	Human	unknown	unknown	?	BA.4	GRA	ASST MONZA	ASST MONZA	Sergio Maria Ivano Malandrin	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/Italy/LOM_ASSTMonza_668844_20220424093300/2022	betacoronavirus	EPI_ISL_12401721	?	2022-04-24	Europe	Italy	Lombardy	Monza	Europe	Italy	Lombardy	genome	29628	Human	unknown	unknown	?	BA.4	GRA	ASST MONZA	ASST MONZA	Sergio Maria Ivano Malandrin	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/USA/MD-HP30386-PIDNBNVCCQ/2022	betacoronavirus	EPI_ISL_12416220	?	2022-04-09	North America	USA	Maryland		North America	USA	Maryland	genome	29314	Human	55-58	Male	?	BA.4	GRA	Johns Hopkins Hospital Department of Pathology	Johns Hopkins Hospital Department of Pathology	C. Paul Morris, Raghda Eldesouki, Amary Fall, Julie M. Norton, Omar Abdullah, Heba H. Mostafa	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/Belgium/MBLG-CTMAPF98541832/2022	betacoronavirus	EPI_ISL_12416794	?	2022-04-22	Europe	Belgium	Brussels		Europe	Belgium	Brussels	genome	29834	Human	70	Female	?	BA.4	GRA	Cliniques universitaires Saint-Luc	UCLouvain/IREC/MBLG-CTMA	Bertrand Bearzatto, Benoit Kabamba Mukadi, Valentin Coste, Jean-Luc Gala	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/France/IDF-HMN-22042150668/2022	betacoronavirus	EPI_ISL_12421048	?	2022-04-11	Europe	France	Ile-de-France		Europe	France	Ile-de-France	genome	29743	Human	40	Female	?	BA.4	GRA	BIO VSM LAB	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	Christophe Rodriguez, Slim Fourati, Vanessa Demontant, Guillaume Gricourt, Melissa N'Debi, Alexandre Soulier, Elisabeth Trawinski, Jean-Michel Pawlotsky	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039890/2022	betacoronavirus	EPI_ISL_12426939	?	2022-04-11	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29859	Human	62	Female	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039893/2022	betacoronavirus	EPI_ISL_12426942	?	2022-04-12	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29776	Human	43	Female	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039895/2022	betacoronavirus	EPI_ISL_12426944	?	2022-04-11	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29859	Human	24	Male	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039898/2022	betacoronavirus	EPI_ISL_12426947	?	2022-04-10	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29834	Human	27	Female	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039903/2022	betacoronavirus	EPI_ISL_12426952	?	2022-04-09	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29804	Human	47	Female	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039907/2022	betacoronavirus	EPI_ISL_12426956	?	2022-04-12	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29857	Human	5.1	Male	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039908/2022	betacoronavirus	EPI_ISL_12426957	?	2022-04-09	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29830	Human	32	Female	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039909/2022	betacoronavirus	EPI_ISL_12426958	?	2022-04-08	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29859	Human	12	Male	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039919/2022	betacoronavirus	EPI_ISL_12426967	?	2022-04-11	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29857	Human	18	Male	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039930/2022	betacoronavirus	EPI_ISL_12426977	?	2022-04-11	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29836	Human	22	Female	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/SouthAfrica/CERI-KRISP-K039933/2022	betacoronavirus	EPI_ISL_12426980	?	2022-04-11	Africa	South Africa	Western Cape	City of Cape Town	Africa	South Africa	Western Cape	genome	29827	Human	20	Female	?	BA.4	GRA	National Health Laboratory Services	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Tongai Maponga, Shannon Wilson, Mathilda Claassen, Tania Stander, Gert van Zyl, Wolfgang Preiser, Giandhari J, Pillay S, Naidoo Y, Naicker D, Maharaj A, Anyaneji UJ, Moir M, Van Wyk S, San JE, Tshiabuila D, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2022-04-29	?
hCoV-19/Denmark/DCGC-503365/2022	betacoronavirus	EPI_ISL_12435606	?	2022-04-25	Europe	Denmark	Midtjylland		Europe	Denmark	Midtjylland	genome	29789	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Denmark/DCGC-503775/2022	betacoronavirus	EPI_ISL_12436012	?	2022-04-25	Europe	Denmark	Hovedstaden		Europe	Denmark	Hovedstaden	genome	29740	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Denmark/DCGC-503899/2022	betacoronavirus	EPI_ISL_12436133	?	2022-04-25	Europe	Denmark	Midtjylland		Europe	Denmark	Midtjylland	genome	29740	Human	unknown	unknown	?	BA.4	GRA	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut  Bioinformatics and Microbial Genomics	Danish Covid-19 Genome Consortium	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Australia/SA235736/2022	betacoronavirus	EPI_ISL_12442764	?	2022-04-15	Oceania	Australia	South Australia		Oceania	Australia	South Australia	genome	29709	Human	unknown	Female	?	BA.4	GRA	SA Pathology	SA Pathology	Caitlin Selway, Lex Leong, Chuan Kok Lim, Mark Turra, Ivan Bastian	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/USA/NY-PRL_0422_00B10/2022	betacoronavirus	EPI_ISL_12450643	?	2022-04-19	North America	USA	New York	New York City	North America	USA	New York	genome	29763	Human	32	Male	?	BA.4	GRA	Pandemic Response Lab - NYC	Pandemic Response Lab, R&D	Isabel Fernandez Escapa, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, William Ward, Steven Chase, Simran Chhabria, Sol Rey, Alex Carpio, Simran Gupta, Tiara Rivera, Haiping Hao, Jon Laurent	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/USA/NY-PRL_0422_00B15/2022	betacoronavirus	EPI_ISL_12450648	?	2022-04-20	North America	USA	New York	New York City	North America	USA	New York	genome	29765	Human	62	Female	?	BA.4	GRA	Pandemic Response Lab - NYC	Pandemic Response Lab, R&D	Isabel Fernandez Escapa, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, William Ward, Steven Chase, Simran Chhabria, Sol Rey, Alex Carpio, Simran Gupta, Tiara Rivera, Haiping Hao, Jon Laurent	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/USA/NY-PRL_0422_01E02/2022	betacoronavirus	EPI_ISL_12450908	?	2022-04-20	North America	USA	New York	New York City	North America	USA	New York	genome	29766	Human	66	Female	?	BA.4	GRA	Pandemic Response Lab - NYC	Pandemic Response Lab, R&D	Isabel Fernandez Escapa, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, William Ward, Steven Chase, Simran Chhabria, Sol Rey, Alex Carpio, Simran Gupta, Tiara Rivera, Haiping Hao, Jon Laurent	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/USA/NY-PRL_0425_00D21/2022	betacoronavirus	EPI_ISL_12451079	?	2022-04-24	North America	USA	New York	New York City	North America	USA	New York	genome	29794	Human	36	Male	?	BA.4	GRA	Pandemic Response Lab - NYC	Pandemic Response Lab, R&D	Isabel Fernandez Escapa, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, William Ward, Steven Chase, Simran Chhabria, Sol Rey, Alex Carpio, Simran Gupta, Tiara Rivera, Haiping Hao, Jon Laurent	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/USA/TX-HMH-M-96682/2022	betacoronavirus	EPI_ISL_12454576	?	2022-04-14	North America	USA	Texas	Houston	North America	USA	Texas	genome	29771	Human	unknown	unknown	?	BA.4	GRA	Houston Methodist Hospital	Houston Methodist Hospital	Paul A. Christensen, Randall J. Olsen, S. Wesley Long, Richard Snehal, Sinjini Gupta, Yuvanesh Vedaraju, James J. Davis, Matthew Ojeda Saavedra, Kristina Reppond, Madison N. Shyer, Jessica Cambric, Ryan Gadd, Rashi M. Thakur, Akanksha Batajoo, Regan Mangham, Sindy Pena, Nicole Kanellopoulos, Jordan Pachuca, Robert Olson, Jimmy Gollihar, James M. Musser	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Israel/ICH-741221274/2022	betacoronavirus	EPI_ISL_12456544	?	2022-04-21	Asia	Israel			Asia	Israel		genome	29429	Human	unknown	unknown	?	BA.4	GRA	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Orly Eshel, Katya Levytskyi, Ora Halutz, Alon Ziv, Lior Handler, Goel Morad, Matan Slutzkin, Amos Adler	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Israel/ICH-741221387/2022	betacoronavirus	EPI_ISL_12456614	?	2022-04-20	Asia	Israel			Asia	Israel		genome	29429	Human	unknown	unknown	?	BA.4	GRA	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Orly Eshel, Katya Levytskyi, Ora Halutz, Alon Ziv, Lior Handler, Goel Morad, Matan Slutzkin, Amos Adler	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Israel/ICH-741221386/2022	betacoronavirus	EPI_ISL_12456676	?	2022-04-20	Asia	Israel			Asia	Israel		genome	29419	Human	unknown	unknown	?	BA.4	GRA	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Orly Eshel, Katya Levytskyi, Ora Halutz, Alon Ziv, Lior Handler, Goel Morad, Matan Slutzkin, Amos Adler	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Israel/ICH-741221418/2022	betacoronavirus	EPI_ISL_12456726	?	2022-04-20	Asia	Israel			Asia	Israel		genome	29429	Human	unknown	unknown	?	BA.4	GRA	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Orly Eshel, Katya Levytskyi, Ora Halutz, Alon Ziv, Lior Handler, Goel Morad, Matan Slutzkin, Amos Adler	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Israel/ICH-741221417/2022	betacoronavirus	EPI_ISL_12456788	?	2022-04-20	Asia	Israel			Asia	Israel		genome	29392	Human	unknown	unknown	?	BA.4	GRA	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Orly Eshel, Katya Levytskyi, Ora Halutz, Alon Ziv, Lior Handler, Goel Morad, Matan Slutzkin, Amos Adler	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Israel/ICH-741221252/2022	betacoronavirus	EPI_ISL_12456790	?	2022-04-21	Asia	Israel			Asia	Israel		genome	29709	Human	unknown	unknown	?	BA.4	GRA	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Orly Eshel, Katya Levytskyi, Ora Halutz, Alon Ziv, Lior Handler, Goel Morad, Matan Slutzkin, Amos Adler	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Israel/ICH-741221488/2022	betacoronavirus	EPI_ISL_12456969	?	2022-04-20	Asia	Israel			Asia	Israel		genome	29414	Human	unknown	unknown	?	BA.4	GRA	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Clinical Microbiology Laboratory, Tel Aviv Sourasky Medical Center	Orly Eshel, Katya Levytskyi, Ora Halutz, Alon Ziv, Lior Handler, Goel Morad, Matan Slutzkin, Amos Adler	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/USA/NY-PRL-0425_00H10/2022	betacoronavirus	EPI_ISL_12462038	?	2022-04-23	North America	USA	New York	New York City	North America	USA	New York	genome	29801	Human	17	Female	?	BA.4	GRA	Pandemic Response Lab - NYC	Pandemic Response Lab, R&D	Isabel Fernandez Escapa, Michael Hammerling, Melissa Hopkins, Cybill del Castillo, William Ward, Steven Chase, Simran Chhabria, Sol Rey, Alex Carpio, Simran Gupta, Tiara Rivera, Haiping Hao, Jon Laurent	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/USA/NY-NYULH6630/2022	betacoronavirus	EPI_ISL_12465863	?	2022-04-23	North America	USA	New York	New York City	North America	USA	New York	genome	29498	Human	unknown	unknown	?	BA.4	GRA	NYU Langone Health	Departments of Pathology and Medicine, New York University School of Medicine	Adriana Heguy, Dacia Dimartino, Emily Guzman, Christian Marier, Peter Meyn, Sitharam Ramaswami, Gael Westby, Paul Zappile, Yutong Zhang, Guiqing Wang	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/Canada/ON-PHL-22-20317/2022	betacoronavirus	EPI_ISL_12466376	?	2022-04-19	North America	Canada	Ontario		North America	Canada	Ontario	genome	29709	Human	45-49	Male	?	BA.4	GRA	Public Health Ontario Laboratory	Public Health Ontario Laboratory	Jacob Afelskie, Rebecca Azzaro, Doonia Bajovic, Philip Banh, Claudia Chu, Kirby Cronin, Rachelle DiTullio, Carla Duncan, Dhiraj Gaglani, Mark Horsman, Hadia Hussain, Jason Iraheta, Grace Jeong, Sushma Kavikondala, Lisa Kim, Surendra Kumar, Aimin Li, Maria Mariscal, Alex Marchand-Austin, Dean Maxwell, Lisa McTaggart, Fatima Merza, Esther Nagai, Rima Palencia, John Palmer, Samir N Patel, Nataliya Potapova, Anna Puzinovici, Zarah Rajaei, Christina Rampertab, Himeshi Samarsinghe, Candice Schreiber, Narisha Shakuralli, Christine Seah, Karthikeyan Sivaraman, Fatemeh Shaeri, Natasha Sing, Vincent Su Bin Cha, Ashleigh Sullivan, Sarah Teatero, Semra Tibebu, Nobish Varghese, Brandon Ye, Andre Villegas, Jesse Wang, Sophie Yu	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/England/LSPA-3DD1284/2022	betacoronavirus	EPI_ISL_12469584	?	2022-04-26	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/England/LSPA-3DD1415/2022	betacoronavirus	EPI_ISL_12469594	?	2022-04-26	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/England/LSPA-3DD113C/2022	betacoronavirus	EPI_ISL_12469612	?	2022-04-26	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/England/LSPA-3DD24AB/2022	betacoronavirus	EPI_ISL_12469632	?	2022-04-26	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/England/LSPA-3DD1196/2022	betacoronavirus	EPI_ISL_12469666	?	2022-04-26	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/England/LSPA-3DD0FD9/2022	betacoronavirus	EPI_ISL_12469728	?	2022-04-26	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29709	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-05-02	?
hCoV-19/England/LSPA-3DD23BD/2022	betacoronavirus	EPI_ISL_12469747	?	2022-04-26	Europe	United Kingdom	England		Europe	United Kingdom	England	genome	29525	Human	unknown	unknown	?	BA.4	GRA	Rosalind Franklin Laboratory	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Donald Fraser, Suki Lee, Rob Howes, The Rosalind Franklin Laboratory and Alex Alderton, Roberto Amato, Jeffrey Barrett, Sonia Goncalves, Ewan Harrison, David K. Jackson, Ian Johnston, Dominic Kwiatkowski, Cordelia Langford, John Sillitoe on behalf of the Wellcome Sanger Institute COVID-19 Surveillance Team	https://www.gisaid.org/	?	?	2022-05-02	?
